study,technique,analysis_level,gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,celltype,n_selected_genes,padj_celltype_BH,padj_global_BH
GSE250136,pseudobulk_deseq2,celltype_barcode,Ska3,21.37939092964259,-0.05923317546976438,0.14939587788854755,0.6617521346052371,0.4159420545705215,0.7119173708100746,neuromesodermal.progenitors,9405,0.7119173708100746,0.8252390699418494
GSE250136,pseudobulk_deseq2,celltype_barcode,Mrpl57,121.6902369845717,0.05769708665561968,0.06634590926470262,0.7592541399041863,0.38356203847561665,0.7050652494204701,neuromesodermal.progenitors,9405,0.7050652494204701,0.8252390699418494
GSE250136,pseudobulk_deseq2,celltype_barcode,Zdhhc20,64.98231262480822,0.038383189759198286,0.08404972851127201,0.34428404446725835,0.5573667667799077,0.7435242305550346,neuromesodermal.progenitors,9405,0.7435242305550346,0.8253115024074401
GSE250136,pseudobulk_deseq2,celltype_barcode,Micu2,45.820425818942006,-0.0030023430291816547,0.10685053579006104,0.37622265946401967,0.5396317703341998,0.7377530191885316,neuromesodermal.progenitors,9405,0.7377530191885316,0.8252390699418494
GSE250136,pseudobulk_deseq2,celltype_barcode,Fgf9,9.687227115805577,-0.05931598090585182,0.22537858876539613,0.24957593172307213,0.6173738353358189,0.7613780111122382,neuromesodermal.progenitors,9405,0.7613780111122382,0.828436364383739
GSE250136,pseudobulk_deseq2,celltype_barcode,Rcbtb1,49.498628744787524,-0.066908868576006,0.11075194883708196,0.846535742849909,0.3575342101834109,0.7050652494204701,neuromesodermal.progenitors,9405,0.7050652494204701,0.8252390699418494
GSE250136,pseudobulk_deseq2,celltype_barcode,Setdb2,4.614210054230679,-0.09651394202630777,0.34957120834612704,1.506805353756377,0.21962720893361884,0.7008055266644746,neuromesodermal.progenitors,9405,0.7008055266644746,0.8252390699418494
GSE250136,pseudobulk_deseq2,celltype_barcode,Cab39l,32.02897341296447,0.07624849888780606,0.12332135774811857,0.8196837500167931,0.36527264611094257,0.7050652494204701,neuromesodermal.progenitors,9405,0.7050652494204701,0.8252390699418494
GSE250136,pseudobulk_deseq2,celltype_barcode,Cdadc1,16.052402788668932,0.013857535014672445,0.16818590991999638,0.15182659997680048,0.6967958698415594,0.7918061683718522,neuromesodermal.progenitors,9405,0.7918061683718522,0.8384466336521486
GSE250136,pseudobulk_deseq2,celltype_barcode,Shisa2,10.737102683166523,-2.1788665478159858e-4,0.22086248857545585,0.04391867180417819,0.8340049966378685,0.8651904912176434,neuromesodermal.progenitors,9405,0.8651904912176434,0.8823936606163628
GSE250136,pseudobulk_deseq2,celltype_barcode,Gm49336,23.641928129062148,0.05851189866677751,0.1497171592214177,0.6675597567799798,0.41390368270345995,0.7119173708100746,neuromesodermal.progenitors,9405,0.7119173708100746,0.8252390699418494
GSE250136,pseudobulk_deseq2,celltype_barcode,Amer2,9.093664218243445,0.07855677840474376,0.22407992064544166,0.6090917263766613,0.43512999628450844,0.7147197190724845,neuromesodermal.progenitors,9405,0.7147197190724845,0.8252390699418494
GSE250136,pseudobulk_deseq2,celltype_barcode,Spata13,24.428990976357085,0.014706679557182913,0.1441544021963657,0.35728006235424914,0.5500207133973349,0.7419347517005142,neuromesodermal.progenitors,9405,0.7419347517005142,0.8252390699418494
GSE250136,pseudobulk_deseq2,celltype_barcode,Mipep,12.485939856481115,0.2327554891027569,0.19422588321479237,1.693578113973814,0.1931299658264432,0.7008055266644746,neuromesodermal.progenitors,9405,0.7008055266644746,0.8252390699418494
GSE250136,pseudobulk_deseq2,celltype_barcode,Tnfrsf19,15.772471104816859,-0.45339431750464315,0.19663175957072054,7.584928817816575,0.00588582879377772,0.683410121055302,neuromesodermal.progenitors,9405,0.683410121055302,0.8252390699418494
GSE250136,pseudobulk_deseq2,celltype_barcode,Sacs,27.459607385685082,-0.1588496296219668,0.13284156115530898,1.80101753603779,0.17958952839711137,0.7008055266644746,neuromesodermal.progenitors,9405,0.7008055266644746,0.8252390699418494
GSE250136,pseudobulk_deseq2,celltype_barcode,Ebpl,48.558391250295685,-0.04744659571855683,0.10301827451516367,0.2277541024319305,0.6331941512347949,0.7659202055367584,neuromesodermal.progenitors,9405,0.7659202055367584,0.8293284332562274
GSE250136,pseudobulk_deseq2,celltype_barcode,Kpna3,70.66592304831565,-0.03495627924978537,0.08186240774758452,0.1890095353844572,0.6637422541317418,0.7776147033638395,neuromesodermal.progenitors,9405,0.7776147033638395,0.8318006849057512
GSE250136,pseudobulk_deseq2,celltype_barcode,Spryd7,18.40332587068168,-0.089026283601332,0.17635441823908576,0.2716545241336519,0.6022240568748907,0.7568118901537497,neuromesodermal.progenitors,9405,0.7568118901537497,0.8275985718273843
GSE250136,pseudobulk_deseq2,celltype_barcode,Trim13,5.213322113888405,-0.053191988321710224,0.30435205281035277,0.07125674146993788,0.789515678530704,0.8373037204802354,neuromesodermal.progenitors,9405,0.8373037204802354,0.8642936941739473
GSE250136,pseudobulk_deseq2,celltype_barcode,Dleu2,28.93166039392212,-0.2396673533855042,0.14929446723736858,3.0243689931313895,0.08202222184801072,0.7008055266644746,neuromesodermal.progenitors,9405,0.7008055266644746,0.8252390699418494
GSE250136,pseudobulk_deseq2,celltype_barcode,Rnaseh2b,61.20256532025223,0.008694066179809976,0.09623906918334282,0.20831306988134202,0.648092827587241,0.7713537378932539,neuromesodermal.progenitors,9405,0.7713537378932539,0.8301948904810973
GSE250136,pseudobulk_deseq2,celltype_barcode,Ints6,32.67721888705396,0.08960796824479117,0.12205893812958483,0.5749960155831388,0.44828043467842726,0.7202137582339361,neuromesodermal.progenitors,9405,0.7202137582339361,0.8252390699418494
GSE250136,pseudobulk_deseq2,celltype_barcode,Wdfy2,10.30262900381687,-0.34777073257869756,0.21961618059867102,2.58257774896461,0.10804558098148431,0.7008055266644746,neuromesodermal.progenitors,9405,0.7008055266644746,0.8252390699418494
GSE250136,pseudobulk_deseq2,celltype_barcode,Ctsb,32.877175006323654,-0.21834324149119025,0.12672130175515628,3.088092361601724,0.07886721753080952,0.7008055266644746,neuromesodermal.progenitors,9405,0.7008055266644746,0.8252390699418494
GSE250136,pseudobulk_deseq2,celltype_barcode,Fdft1,73.00626295499528,-0.21486793053080205,0.10508742806282684,6.018215119761209,0.014158959387278377,0.7008055266644746,neuromesodermal.progenitors,9405,0.7008055266644746,0.8252390699418494
GSE250136,pseudobulk_deseq2,celltype_barcode,Mtmr9,10.134562214921209,0.12549867672742748,0.2126798657388628,0.5617253159353623,0.45356592069260787,0.7202137582339361,neuromesodermal.progenitors,9405,0.7202137582339361,0.8252390699418494
GSE250136,pseudobulk_deseq2,celltype_barcode,Xkr6,5.254131827002711,-0.5133105532353412,0.304610455661015,3.107671223554121,0.07792430371152036,0.7008055266644746,neuromesodermal.progenitors,9405,0.7008055266644746,0.8252390699418494
GSE250136,pseudobulk_deseq2,celltype_barcode,Pinx1,75.0725648311314,0.04785047363829563,0.08099703843120044,0.4325618589211331,0.5107345531950271,0.7303418690587243,neuromesodermal.progenitors,9405,0.7303418690587243,0.8252390699418494
GSE250136,pseudobulk_deseq2,celltype_barcode,Msra,16.234724087822592,-0.08254208617682232,0.16595930250688037,0.4598388142325547,0.4976993131834834,0.7278268383323833,neuromesodermal.progenitors,9405,0.7278268383323833,0.8252390699418494
GSE250136,pseudobulk_deseq2,celltype_barcode,Kif13b,7.910872245735385,-0.09290584209909039,0.24697192096021064,0.18038675778554136,0.6710410775121067,0.7794458856109089,neuromesodermal.progenitors,9405,0.7794458856109089,0.833367912396686
GSE250136,pseudobulk_deseq2,celltype_barcode,Hmbox1,19.93881617867357,0.04137783124588968,0.17144293710784456,0.062191801980588934,0.8030646559181404,0.8454021814316218,neuromesodermal.progenitors,9405,0.8454021814316218,0.8699678688485355
GSE250136,pseudobulk_deseq2,celltype_barcode,Ints9,33.02654156243269,0.20074185527189609,0.11572189370608842,3.423252559322293,0.06428424153140593,0.7008055266644746,neuromesodermal.progenitors,9405,0.7008055266644746,0.8252390699418494
GSE250136,pseudobulk_deseq2,celltype_barcode,Extl3,13.972628618448967,-0.0012528199674241931,0.17756124230020556,0.14424227986496874,0.7040995118420821,0.7945831424135807,neuromesodermal.progenitors,9405,0.7945831424135807,0.839596372794579
GSE250136,pseudobulk_deseq2,celltype_barcode,Fzd3,113.87752854469662,0.022093579151672746,0.07376499351823534,0.5665020311873548,0.4516522737318654,0.7202137582339361,neuromesodermal.progenitors,9405,0.7202137582339361,0.8252390699418494
GSE250136,pseudobulk_deseq2,celltype_barcode,Fbxo16,12.311503952938422,-0.07725670322989195,0.19383413596481738,0.19115553920279638,0.6619566075063903,0.7762826759613333,neuromesodermal.progenitors,9405,0.7762826759613333,0.83152149879939
