study,technique,analysis_level,gene,component,contrast,pvalue,ci.hi,ci.lo,coef,z,logFC,log2FoldChange,celltype,n_selected_genes,padj_celltype_BH,pct_TLS,pct_neural_bias,detection_freq,padj_global_BH
GSE250136,mast,celltype_single_cell,Brix1,H,Morphotypeneural_bias,0.6325329291170043,NA,NA,NA,NA,0.04592909918306076,0.04592909918306076,neuromesodermal.progenitors,9728,0.9540504897233112,0.6920435031482541,0.7088068181818182,0.696858425132599,0.930062782998869
GSE250136,mast,celltype_single_cell,Brk1,H,Morphotypeneural_bias,0.2537052415823701,NA,NA,NA,NA,0.11741130606730366,0.11741130606730366,neuromesodermal.progenitors,9728,0.867077339709606,0.8523182598740698,0.8607954545454546,0.8547531619747042,0.8001373600468998
GSE250136,mast,celltype_single_cell,Brms1,H,Morphotypeneural_bias,0.5457717036176855,NA,NA,NA,NA,-0.009932724772294843,-0.009932724772294843,neuromesodermal.progenitors,9728,0.9418103470810422,0.24327418431597023,0.22869318181818182,0.23908608731130152,0.9069116534442503
GSE250136,mast,celltype_single_cell,Brms1l,H,Morphotypeneural_bias,0.05538019539056758,NA,NA,NA,NA,-0.027395575735453412,-0.027395575735453412,neuromesodermal.progenitors,9728,0.6825505693915114,0.08757870635374929,0.06534090909090909,0.08119135046919625,0.5661104030671521
GSE250136,mast,celltype_single_cell,Brox,H,Morphotypeneural_bias,0.4035236555065742,NA,NA,NA,NA,-0.010469807309907805,-0.010469807309907805,neuromesodermal.progenitors,9728,0.8980001868341907,0.10475100171722954,0.09090909090909091,0.10077519379844961,0.8622514015582287
GSE250136,mast,celltype_single_cell,Brpf1,H,Morphotypeneural_bias,0.6827334893807091,NA,NA,NA,NA,0.013505686118510829,0.013505686118510829,neuromesodermal.progenitors,9728,0.9641459253185866,0.23697767601602748,0.25142045454545453,0.24112607099143207,0.9423917567661788
GSE250136,mast,celltype_single_cell,Brpf3,H,Morphotypeneural_bias,0.08042606977716629,NA,NA,NA,NA,0.006449374212513001,0.006449374212513001,neuromesodermal.progenitors,9728,0.7324947385042102,0.10131654264453349,0.11505681818181818,0.10526315789473684,0.6319987277743199
GSE250136,mast,celltype_single_cell,Brsk2,H,Morphotypeneural_bias,0.7212865747123717,NA,NA,NA,NA,0.009281077891497999,0.009281077891497999,neuromesodermal.progenitors,9728,0.9684581649784303,0.08528906697195192,0.09517045454545454,0.08812729498164015,0.9510369549036928
GSE250136,mast,celltype_single_cell,Brwd1,H,Morphotypeneural_bias,0.9121203084993535,NA,NA,NA,NA,-4.331254567089271e-4,-4.331254567089271e-4,neuromesodermal.progenitors,9728,0.9920608636290035,0.5684029765311963,0.5724431818181818,0.569563443492452,0.9893538535839957
GSE250136,mast,celltype_single_cell,Brwd3,H,Morphotypeneural_bias,0.6866626952800751,NA,NA,NA,NA,0.020606853164285455,0.020606853164285455,neuromesodermal.progenitors,9728,0.9641459253185866,0.27361190612478536,0.28125,0.2758057935536516,0.9429029878122334
GSE250136,mast,celltype_single_cell,Bscl2,H,Morphotypeneural_bias,0.9594302047157004,NA,NA,NA,NA,0.0050528080413253795,0.0050528080413253795,neuromesodermal.progenitors,9728,0.9954857690520352,0.14481969089868346,0.14914772727272727,0.14606283149734803,0.9970229809906422
GSE250136,mast,celltype_single_cell,Bsdc1,H,Morphotypeneural_bias,0.7506458824367485,NA,NA,NA,NA,-0.007440951084157731,-0.007440951084157731,neuromesodermal.progenitors,9728,0.9713011183260447,0.06468231253577561,0.056818181818181816,0.06242350061199511,0.9575415588320191
GSE250136,mast,celltype_single_cell,Bsg,H,Morphotypeneural_bias,0.15820037908386003,NA,NA,NA,NA,0.14470333249497402,0.14470333249497402,neuromesodermal.progenitors,9728,0.8242180435718836,0.9336004579278764,0.9247159090909091,0.9310485516115871,0.7368915469357178
GSE250136,mast,celltype_single_cell,Bst2,H,Morphotypeneural_bias,0.19356067140967873,NA,NA,NA,NA,0.011309149468669122,0.011309149468669122,neuromesodermal.progenitors,9728,0.8507772959217421,0.04751001717229536,0.04971590909090909,0.04814361485108119,0.7680965586511612
GSE250136,mast,celltype_single_cell,Btaf1,H,Morphotypeneural_bias,0.8840217145590342,NA,NA,NA,NA,0.012863856563492149,0.012863856563492149,neuromesodermal.progenitors,9728,0.9891854584556155,0.28620492272467085,0.29545454545454547,0.28886168910648713,0.9846467527433597
GSE250136,mast,celltype_single_cell,Btbd1,H,Morphotypeneural_bias,0.4900726419740118,NA,NA,NA,NA,-0.03931527481338609,-0.03931527481338609,neuromesodermal.progenitors,9728,0.9265182873627235,0.3949627933600458,0.37642045454545453,0.38963688290493675,0.890601371014335
GSE250136,mast,celltype_single_cell,Btbd10,H,Morphotypeneural_bias,0.9352849968638045,NA,NA,NA,NA,-0.006374861410050309,-0.006374861410050309,neuromesodermal.progenitors,9728,0.9922038569630522,0.1534058385804236,0.14772727272727273,0.15177478580171358,0.9919855017938486
GSE250136,mast,celltype_single_cell,Btbd19,H,Morphotypeneural_bias,0.49576154171643216,NA,NA,NA,NA,0.0011050378488276225,0.0011050378488276225,neuromesodermal.progenitors,9728,0.9277644001697838,0.0412135088723526,0.03977272727272727,0.04079967360261118,0.8919577499951438
