study,technique,analysis_level,gene,component,contrast,pvalue,ci.hi,ci.lo,coef,z,logFC,log2FoldChange,padj_BH,pct_TLS,pct_neural_bias,detection_freq
GSE250136,mast,sample_single_cell,Cdc42,H,Morphotypeneural_bias,0.02914293498987392,NA,NA,NA,NA,0.4133269691506669,0.4133269691506669,0.077010522699047193,0.9260069489126238,0.9152966404574696,0.921523154036059
GSE250136,mast,sample_single_cell,Cdca7,H,Morphotypeneural_bias,3.990330339020259e-4,NA,NA,NA,NA,0.40413467110782886,0.40413467110782886,0.011750834860425175,0.8518852142581392,0.840421729807005,0.8470861075783647
GSE250136,mast,sample_single_cell,Cdca8,H,Morphotypeneural_bias,1.6763201459875127e-4,NA,NA,NA,NA,0.7381006252861262,0.7381006252861262,0.00894735877920835,0.9934371380774675,0.9907076483202287,0.9922944564973442
GSE250136,mast,sample_single_cell,Cdh2,H,Morphotypeneural_bias,0.042537062057549785,NA,NA,NA,NA,0.28610574738209404,0.28610574738209404,0.08897361373886431,0.9915068845708404,0.9917798427448177,0.9916211565796365
GSE250136,mast,sample_single_cell,Cdk2ap1,H,Morphotypeneural_bias,0.05253378844103779,NA,NA,NA,NA,0.20934663609050919,0.20934663609050919,0.09793306374762223,0.996782910822288,0.9958899213724088,0.9964090671055584
GSE250136,mast,sample_single_cell,Cdk4,H,Morphotypeneural_bias,0.007084946693003621,NA,NA,NA,NA,1.0141479719863273,1.0141479719863273,0.0504212039652091,1,1,1
GSE250136,mast,sample_single_cell,Cdkn1c,H,Morphotypeneural_bias,0.5093136897552338,NA,NA,NA,NA,-0.2538001933613723,-0.2538001933613723,0.5304315744524021,0.823703513061382,0.8488205861329521,0.8342185980399491
GSE250136,mast,sample_single_cell,Cdv3,H,Morphotypeneural_bias,0.0245983981861614,NA,NA,NA,NA,0.3483098462512473,0.3483098462512473,0.07139429943990573,0.9565049543173336,0.95746962115797,0.9569088052667015
GSE250136,mast,sample_single_cell,Celf1,H,Morphotypeneural_bias,0.24659724860168314,NA,NA,NA,NA,0.16475607022351113,0.16475607022351113,0.278563558605605,0.9985844807618067,0.9974982130092923,0.9981297224508117
GSE250136,mast,sample_single_cell,Cenpa,H,Morphotypeneural_bias,0.005216168822493146,NA,NA,NA,NA,0.3734487434208722,0.3734487434208722,0.043906764247524044,0.8580620254793463,0.8543602573266619,0.8565123064262736
GSE250136,mast,sample_single_cell,Cenpf,H,Morphotypeneural_bias,5.081180879541936e-4,NA,NA,NA,NA,0.3985932884914538,0.3985932884914538,0.013560401472277543,0.9332132286706988,0.9333452466047176,0.9332684970449615
GSE250136,mast,sample_single_cell,Cenpw,H,Morphotypeneural_bias,0.12888113333925202,NA,NA,NA,NA,0.11344709333631275,0.11344709333631275,0.17117338704777796,0.8741474713679063,0.8758041458184418,0.874841026408319
GSE250136,mast,sample_single_cell,Cfdp1,H,Morphotypeneural_bias,0.145870162494456,NA,NA,NA,NA,0.1704437422506353,0.1704437422506353,0.18817691657139793,0.9567623214515506,0.9501429592566119,0.9539911722899679
GSE250136,mast,sample_single_cell,Cfl1,H,Morphotypeneural_bias,0.2155078690770698,NA,NA,NA,NA,0.8006173869065858,0.8006173869065858,0.251769795064046,0.8158538154677648,0.8246962115796997,0.8195556220543129
GSE250136,mast,sample_single_cell,Cfl2,H,Morphotypeneural_bias,0.004831506835692878,NA,NA,NA,NA,0.2496132353179652,0.2496132353179652,0.04290216747062152,0.9114657058293656,0.9247676912080057,0.917034487918007
GSE250136,mast,sample_single_cell,Chchd1,H,Morphotypeneural_bias,0.02151842991981824,NA,NA,NA,NA,0.31187157853177494,0.31187157853177494,0.0695648755847698,0.8082614850083645,0.8039671193709793,0.8064636792099947
GSE250136,mast,sample_single_cell,Chchd2,H,Morphotypeneural_bias,0.13114315980563435,NA,NA,NA,NA,1.1045477630850247,1.1045477630850247,0.17283373221298107,1,1,1
