study,technique,analysis_level,gene,neural__log2FoldChange,neuromesodermal.progenitors__log2FoldChange,pluripotent__log2FoldChange,somitic__log2FoldChange,unknown__log2FoldChange,neural__pvalue,neuromesodermal.progenitors__pvalue,pluripotent__pvalue,somitic__pvalue,unknown__pvalue,neural__padj_celltype_BH,neuromesodermal.progenitors__padj_celltype_BH,pluripotent__padj_celltype_BH,somitic__padj_celltype_BH,unknown__padj_celltype_BH
GSE250136,pseudobulk_deseq2,celltype_barcode,Gm3604,0.15635096321408024,0.8074043273023722,-0.26233055829713353,0.7123855967850136,0,0.7830822159585118,0.24050927357176555,0.6860153173524418,0.32358580537089204,1,1,0.9351250269522533,1,1,1
GSE250136,pseudobulk_deseq2,celltype_barcode,Gm49359,-0.005176771378415943,0.3254807782795642,0.3920567409196356,-0.09099802395774843,-0.7465928391131967,0.971977060168621,0.20486842037580244,0.3384725850122635,0.6863525852571142,0.35981379846219397,1,0.9297573935190683,1,1,1
GSE250136,pseudobulk_deseq2,celltype_barcode,Zfp934,0.41625804735460437,0.19465347110691733,0.6730345779967872,-0.14112661938994367,-0.28752935221768167,0.015012881664279663,0.5246844988534252,0.12973981730652762,0.6174016357506293,0.7278745901779101,0.48915861678427375,0.9922628470126523,0.9594576686803689,1,1
GSE250136,pseudobulk_deseq2,celltype_barcode,6720489N17Rik,-0.19703689727553444,0.29566562315068234,0.3090295179654394,0.3170244081081497,-0.5199282856880088,0.24101609037756427,0.3608547491562345,0.627446262655784,0.31343618390837424,0.5264783578555816,1,0.9589619098712585,1,1,1
GSE250136,pseudobulk_deseq2,celltype_barcode,Platr25,-0.017214646752328443,-0.12311830063128082,0.0634699812691082,0.5637562060887845,-0.515097628317841,0.9075447020054174,0.5783430708297334,0.8596516365726761,0.005192208139910169,0.5244533000925506,1,0.9922628470126523,1,0.3273053818505572,1
GSE250136,pseudobulk_deseq2,celltype_barcode,Gm5141,0.1873724260733472,0.11252122892570378,0.7282159305710673,-0.622233916649246,-0.2859079938814442,0.46646462567021063,0.8023932766154744,0.251010513515033,0.14206460226470471,0.7344467775678369,1,0.9977923569882506,1,1,1
GSE250136,pseudobulk_deseq2,celltype_barcode,Fbp1,0.24932780348798894,0,0.9630195255743599,-0.5575090576385897,0,0.9127490274685736,1,0.6685435965492492,0.8048017539992803,1,1,1,1,1,1
GSE250136,pseudobulk_deseq2,celltype_barcode,Aopep,-0.14440202649979456,-0.4408111315783263,0.1185355555883866,-0.15406968188547132,-0.5225234084887925,0.3941856717276572,0.07137478284980917,0.5925141945378554,0.5857700849748015,0.530337434288223,1,0.8799252832703464,1,1,1
GSE250136,pseudobulk_deseq2,celltype_barcode,Fancc,0.1435038708711155,0.42104468953854807,0.4047048995651789,-0.009454697659506598,1.0901144176426456,0.24574465281277957,0.0724511993915185,0.2112901636072467,0.968096304235763,0.19145114788024425,1,0.8799252832703464,1,1,1
GSE250136,pseudobulk_deseq2,celltype_barcode,Gm16133,-0.41181017861743074,0.16027094246976875,-1.1053742679083869,-0.028973704668299998,-0.2859079347896392,0.6557335731551457,0.866964447241829,0.277843287538736,0.9751764768764345,0.7873866036598036,1,1,1,1,1
GSE250136,pseudobulk_deseq2,celltype_barcode,Gm16132,-0.9255766226962912,0.8050976447894257,-0.011997409510740227,0.29411386958705066,-0.2859079857372398,0.06021975106017989,0.24265602866237282,0.9888687931288763,0.6915544716601327,0.7441357872165377,0.9465904999553898,0.9351250269522533,1,1,1
GSE250136,pseudobulk_deseq2,celltype_barcode,Ptch1,0.08595296347872539,-0.004739086437316137,0.018690508248944554,-0.15993909365473732,1.8765382070103742,0.34692764469993814,0.9732779123465273,0.9208396625091143,0.2293374152821517,0.0030984279644576153,1,1,1,1,0.4910324723913988
GSE250136,pseudobulk_deseq2,celltype_barcode,Gm30655,0.2840099103604953,2.0925164710667734,0,1.100137404163844,0,0.9651606151888407,0.7475787267542375,1,0.8656868555042657,1,1,0.9922628470126523,1,1,1
GSE250136,pseudobulk_deseq2,celltype_barcode,Ercc6l2,0.1329426578405045,-0.11566667387435453,-0.16472967764026605,-0.10895278222072748,0.18989700892608283,0.27180320023686527,0.49278281414678693,0.43388154004782997,0.4943488191920046,0.7689731960042056,1,0.9922628470126523,1,1,1
GSE250136,pseudobulk_deseq2,celltype_barcode,Gm47424,-0.2861586392998597,0.9408946131081682,0.27217033060197987,0.24892565537518063,0,0.7144939919490964,0.2773458898384585,0.7768513269327283,0.7903452991388462,1,1,0.9439710623398081,1,1,1
GSE250136,pseudobulk_deseq2,celltype_barcode,Slc35d2,0.41134065311801926,1.2356141851404414,0.30493590321728387,0.27123220858295594,-0.2859079885054039,0.2845700032886442,0.06470085576219083,0.6210628548230852,0.6502298087269749,0.7409624597700137,1,0.8799252832703464,1,1,1
GSE250136,pseudobulk_deseq2,celltype_barcode,Zfp367,0.034017056404736276,-0.21128092579557006,0.02408936390673048,0.06195712595700586,-0.11028040866625613,0.7177179991677494,0.2301438025602454,0.9185835972810484,0.7035447984824363,0.8847231973547942,1,0.9351250269522533,1,1,1
GSE250136,pseudobulk_deseq2,celltype_barcode,Habp4,-0.05856885223507717,0.12077595177781025,-0.423265181043689,-0.028381420688586508,0.17819851087096386,0.5888848542028853,0.5266479744823098,0.21038859693064585,0.8733545641785504,0.7799885965274753,1,0.9922628470126523,1,1,1
GSE250136,pseudobulk_deseq2,celltype_barcode,Cdc14b,-0.2005041251002363,-0.22977181317211157,0.01995659208709946,0.09553705891308892,0.5012236758108531,0.0279242371488686,0.11109557808533246,0.9534714795063561,0.483041553271434,0.5455058259336918,0.6704740919618397,0.906613871042511,1,1,1
GSE250136,pseudobulk_deseq2,celltype_barcode,1810034E14Rik,-0.21496595838637067,2.1052171381023634,0,-0.2739323545866459,0,0.9612483241432804,0.634216154244471,1,0.9505680900036322,1,1,0.9922628470126523,1,1,1
GSE250136,pseudobulk_deseq2,celltype_barcode,Prxl2c,0.06955528341521582,0.13853738277734576,0.25629875799039203,-0.39917002985681943,0.38373802550346847,0.40503332594339847,0.3353329386886483,0.32653876894534195,0.001969382095937485,0.5359512859074038,1,0.9586455697961136,1,0.16960725430928275,1
GSE250136,pseudobulk_deseq2,celltype_barcode,Ctsl,0.02129271819885264,0.0652615407909929,0.11509367322013712,0.038086759347172164,-0.04769519815992932,0.521217357995585,0.19504989365280875,0.13532105068117592,0.4128745799670725,0.8465971816930646,1,0.9259076026467368,0.9730808912957629,1,1
