study,technique,analysis_level,gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,n_selected_genes,padj_BH
GSE250136,pseudobulk_deseq2,sample_barcode,Plgrkt,214.8187616501248,0.06999900813810554,0.050890833869720375,1.906302226745737,0.16737459245051167,0.633990855385886,12491,0.633990855385886
GSE250136,pseudobulk_deseq2,sample_barcode,A930007I19Rik,8.332056595758084,-0.007959045873051492,0.2402377745122754,0.01201874506696754,0.9127027879536271,0.9325636306888746,12491,0.9325636306888746
GSE250136,pseudobulk_deseq2,sample_barcode,Ric1,85.70134601141648,0.04082218652073498,0.07618231493844584,0.2873151167248693,0.5919462261012042,0.8596447159109726,12491,0.8596447159109726
GSE250136,pseudobulk_deseq2,sample_barcode,Ermp1,87.07209215109125,0.141049134289726,0.08134016686903765,3.0277091348837644,0.08185351148278579,0.4973417665955436,12491,0.4973417665955436
GSE250136,pseudobulk_deseq2,sample_barcode,9930021J03Rik,177.31425978006445,-0.0932367393413197,0.06242264058471732,2.494948124331529,0.11421213943811781,0.5652444519507774,12491,0.5652444519507774
GSE250136,pseudobulk_deseq2,sample_barcode,Ranbp6,110.09011005481248,-0.018339668305112102,0.06655657927266795,0.08202555699728009,0.7745709765276536,0.8825303381558525,12491,0.8825303381558525
GSE250136,pseudobulk_deseq2,sample_barcode,Uhrf2,474.84511307717526,0.021178818646000803,0.035056304888971664,0.36706530116188674,0.5446082922169923,0.8532130615842755,12491,0.8532130615842755
GSE250136,pseudobulk_deseq2,sample_barcode,Gldc,200.11061261311022,0.06353178508816465,0.060371565369411226,1.1345698419704604,0.28680267829079453,0.7416491618741249,12491,0.7416491618741249
GSE250136,pseudobulk_deseq2,sample_barcode,Prkg1,8.527506456302525,-0.48256068866586316,0.24593669030063808,3.8986926453868733,0.04832369793262435,0.4010385296866964,12491,0.4010385296866964
GSE250136,pseudobulk_deseq2,sample_barcode,Cstf2t,179.04895179299962,0.0698428085652998,0.05293782199426818,1.7501644327942643,0.1858560622099576,0.6538582186162613,12491,0.6538582186162613
GSE250136,pseudobulk_deseq2,sample_barcode,Asah2,6.831326047166683,0.049464987701731924,0.28780023399350496,0.1854028683524973,0.6667706344476463,0.8694038285705861,12491,0.8694038285705861
GSE250136,pseudobulk_deseq2,sample_barcode,Sgms1,47.335024192045545,-0.02092694082425908,0.10882920123298456,0.20875885008356931,0.6477419485456258,0.8687397193882632,12491,0.8687397193882632
GSE250136,pseudobulk_deseq2,sample_barcode,2700046G09Rik,16.730685484685573,0.25321948264732197,0.16306582075295104,2.434729418243819,0.11867437102417064,0.5720736758363146,12491,0.5720736758363146
GSE250136,pseudobulk_deseq2,sample_barcode,Rpl9-ps6,330.75905757753486,-0.0040429953851824725,0.0448137878265641,0.014191447347542407,0.9051740577547649,0.9279074180365244,12491,0.9279074180365244
GSE250136,pseudobulk_deseq2,sample_barcode,Minpp1,239.9885540601755,0.018195818762345738,0.0465016089612799,0.19815679986180612,0.6562127555800062,0.8687397193882632,12491,0.8687397193882632
GSE250136,pseudobulk_deseq2,sample_barcode,Atad1,311.37304104630056,-0.04457583379352467,0.04662357531140775,1.0493027723511545,0.30566771929329717,0.7549460367719474,12491,0.7549460367719474
GSE250136,pseudobulk_deseq2,sample_barcode,Pten,436.3920973305398,-0.10902975963861425,0.04845016992606959,5.074993630276822,0.02427336124582705,0.2985305158433899,12491,0.2985305158433899
GSE250136,pseudobulk_deseq2,sample_barcode,Stambpl1,8.48844660233131,-0.38980607509031356,0.23724255849114995,2.876539950753809,0.08987896000912166,0.5149487204192337,12491,0.5149487204192337
GSE250136,pseudobulk_deseq2,sample_barcode,Acta2,7.47146968753932,-1.194059209967319,0.4645847366800586,6.652504558653305,0.009901654454353384,0.209499959390194,12491,0.209499959390194
GSE250136,pseudobulk_deseq2,sample_barcode,Lipa,64.76076100869719,-0.030691876980502533,0.1074989020229107,0.103259706243648,0.7479523805478219,0.8776623335079152,12491,0.8776623335079152
GSE250136,pseudobulk_deseq2,sample_barcode,Ifit2,11.47126293516685,-0.15737832875726307,0.21991032299995159,0.5321764205403383,0.4656932816744165,0.8277371692206434,12491,0.8277371692206434
GSE250136,pseudobulk_deseq2,sample_barcode,Pank1,182.19120790507338,-0.11396346711260824,0.06229756431580089,3.4074010411969198,0.06490459340399803,0.45304770150757173,12491,0.45304770150757173
GSE250136,pseudobulk_deseq2,sample_barcode,Kif20b,282.8846770059509,0.007658077784006019,0.04430367662494273,0.04044362003793367,0.8406156967366197,0.8994508740032879,12491,0.8994508740032879
GSE250136,pseudobulk_deseq2,sample_barcode,Rpp30,435.26364372853374,0.08901558523896454,0.044165124188319076,4.066971299997107,0.04372961542239115,0.38614766146835033,12491,0.38614766146835033
GSE250136,pseudobulk_deseq2,sample_barcode,Pcgf5,134.04912560973315,-0.1357792734659806,0.09777126003073709,1.9283475261923115,0.16493934726220408,0.631947267498986,12491,0.631947267498986
GSE250136,pseudobulk_deseq2,sample_barcode,Hectd2,31.483204537505443,0.16899768855546568,0.12086182764938343,1.953522238762389,0.1622078010390983,0.6284261943339607,12491,0.6284261943339607
GSE250136,pseudobulk_deseq2,sample_barcode,Hectd2os,6.343929275814407,-0.2943476932794429,0.2783371591938306,1.3347972203655019,0.24795357709370555,0.7107964603856741,12491,0.7107964603856741
GSE250136,pseudobulk_deseq2,sample_barcode,Tnks2,766.6662218085609,-0.05282562269639895,0.031182531622961095,2.961576008320293,0.08526479543217413,0.5042411434412192,12491,0.5042411434412192
GSE250136,pseudobulk_deseq2,sample_barcode,Fgfbp3,301.12447859435883,0.41375591042548093,0.1322771398518186,9.764134141876127,0.0017794930333491106,0.12112118294182192,12491,0.12112118294182192
GSE250136,pseudobulk_deseq2,sample_barcode,Btaf1,191.47611728242646,0.04776986362286081,0.06302148415946884,0.5898410167758072,0.4424806031276325,0.8223271999655881,12491,0.8223271999655881
GSE250136,pseudobulk_deseq2,sample_barcode,Cpeb3,8.674384507031938,-0.03798585004580821,0.2753744569733658,0.050626120978819245,0.8219773363715238,0.892533490217366,12491,0.892533490217366
GSE250136,pseudobulk_deseq2,sample_barcode,March5,711.4090744845856,-0.01759220503468456,0.029844589603460193,0.4780241096082136,0.4893186795162761,0.8342767899567417,12491,0.8342767899567417
GSE250136,pseudobulk_deseq2,sample_barcode,Ide,272.04155969819203,-0.018985279899433893,0.05302578713949118,0.1980816044320477,0.6562737959546535,0.8687397193882632,12491,0.8687397193882632
GSE250136,pseudobulk_deseq2,sample_barcode,Kif11,449.84689592456016,-0.0029687708622163824,0.039942468633013685,0.02695083656081465,0.8695996004641857,0.9106480263098583,12491,0.9106480263098583
GSE250136,pseudobulk_deseq2,sample_barcode,Hhex,13.606168418774411,-0.23590325323749758,0.2078588740916986,1.299596934617739,0.25428686125179856,0.7143596259637796,12491,0.7143596259637796
GSE250136,pseudobulk_deseq2,sample_barcode,Exoc6,44.15775323385035,-0.08066194587548624,0.10861868997921878,0.5864450262440641,0.4437971069065205,0.8223271999655881,12491,0.8223271999655881
GSE250136,pseudobulk_deseq2,sample_barcode,Cyp26a1,34.19341110448059,-0.544988853283127,0.2143061551172713,6.480737584664922,0.010904972225309048,0.2194778335936046,12491,0.2194778335936046
