study,technique,analysis_level,gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,padj_BH
GSE250136,pseudobulk_deseq2,sample_barcode,Ints13,219.97635412291055,-0.025059469489453732,0.04704998939988163,-0.5326137116944129,0.5943010084929073,0.9157484094606091,0.9939750250947177
GSE250136,pseudobulk_deseq2,sample_barcode,Fgfr1op2,434.440102186305,-0.10129550912939873,0.04233723035159589,-2.3925870513535004,0.016730058854822778,0.2803367685244358,0.3654759831117329
GSE250136,pseudobulk_deseq2,sample_barcode,Tm7sf3,127.88730777800396,0.08705417459251931,0.06754740896898959,1.288786289826233,0.19747239368940353,0.708020978368166,0.8508221763130916
GSE250136,pseudobulk_deseq2,sample_barcode,Med21,676.5538150290917,0.034352779957686666,0.0321010046733698,1.0701465672874995,0.2845533410365269,0.776189544425946,0.9101673252109052
GSE250136,pseudobulk_deseq2,sample_barcode,Stk38l,104.97064397219849,-0.24565884361349183,0.12475729081639893,-1.9690940866535778,0.0489422877809183,0.43284456192328086,0.552482517166224
GSE250136,pseudobulk_deseq2,sample_barcode,Arntl2,4.0327794936725345,0.1465328805302215,0.3341552164375726,0.4385174114365412,0.6610112513128348,0.9355431094565941,0.9939750250947177
GSE250136,pseudobulk_deseq2,sample_barcode,Ppfibp1,155.26348473790645,-0.17866515070365163,0.06858382221651987,-2.6050626070329503,0.009185747341199865,0.21815157102158714,0.28671820811608284
GSE250136,pseudobulk_deseq2,sample_barcode,Rep15,21.79458079578111,-0.43613314608862025,0.18882007411090584,-2.3097816698898868,0.020900244611630796,0.300915274203763,0.39241974120343437
GSE250136,pseudobulk_deseq2,sample_barcode,Mrps35,534.5077689897691,-0.01236288315116017,0.04129567989873744,-0.2993747331797326,0.7646541386191872,0.9542303258034618,0.9939750250947177
GSE250136,pseudobulk_deseq2,sample_barcode,Mansc4,2.028916164633721,-0.3392323286898509,0.5356602446145158,-0.6332975652019447,0.5265393429919656,NA,0.9899392956692238
GSE250136,pseudobulk_deseq2,sample_barcode,Klhl42,16.323498223626782,-0.10254584271549967,0.17656001913287914,-0.5807987743721507,0.5613760812172521,0.9089788857145243,0.9939750250947177
GSE250136,pseudobulk_deseq2,sample_barcode,Gm6288,1.032153505347573,-0.7089314289168208,0.7079072710656471,-1.001446740121248,0.31661087681059247,NA,0.9280963650348915
GSE250136,pseudobulk_deseq2,sample_barcode,Ccdc91,96.36992728023827,-0.132356633439987,0.08327705214385395,-1.5893530094143136,0.11198071718814824,0.5955605631947484,0.7413992779980937
GSE250136,pseudobulk_deseq2,sample_barcode,Far2,2.4369016243574326,-0.6014934385774428,0.4380124034047783,-1.3732338032025717,0.1696796741752857,NA,0.8227265543821357
GSE250136,pseudobulk_deseq2,sample_barcode,Ergic2,608.1532967869223,-0.018489829759465892,0.03275400167819802,-0.5645059782656492,0.5724098327390086,0.9128154174368797,0.9939750250947177
GSE250136,pseudobulk_deseq2,sample_barcode,Gm17216,0.4957513085359768,-0.6769363878296497,1.022790670478999,-0.6618523294826526,0.508065865368129,NA,0.9863615547836008
GSE250136,pseudobulk_deseq2,sample_barcode,Tmtc1,3.2532800040930563,0.3601670596904718,0.4010658188944775,0.8980248196748813,0.3691723175432863,0.8322618939799881,0.9518279749188564
GSE250136,pseudobulk_deseq2,sample_barcode,Ipo8,193.93254195922466,0.003123852539569804,0.05793091655400525,0.05392375479952295,0.9569959106039021,0.9908281244446063,0.9939750250947177
