study,technique,analysis_level,gene,component,contrast,pvalue,ci.hi,ci.lo,coef,z,logFC,log2FoldChange,n_selected_genes,padj_BH,pct_TLS,pct_neural_bias,detection_freq
GSE250136,mast,sample_single_cell,Dusp23,H,Morphotypeneural_bias,3.0235684499687707e-10,NA,NA,NA,NA,0.05168530221469225,0.05168530221469225,11573,1.1780718553211655e-8,0.14283875949041308,0.18548963545389563,0.1606942470262587
GSE250136,mast,sample_single_cell,Dusp27,H,Morphotypeneural_bias,0.18947859831123476,NA,NA,NA,NA,-0.0026812240048792266,-0.0026812240048792266,11573,0.4357405285488093,0.012353622442414103,0.010721944245889922,0.011670531906934989
GSE250136,mast,sample_single_cell,Dusp28,H,Morphotypeneural_bias,0.5538782565019332,NA,NA,NA,NA,0.0026952788595784594,0.0026952788595784594,11573,0.7614921212118774,0.08068459657701711,0.08863473909935668,0.08401286750953842
GSE250136,mast,sample_single_cell,Dusp3,H,Morphotypeneural_bias,0.6918051263177012,NA,NA,NA,NA,0.0018585519523921373,0.0018585519523921373,11573,0.842425436362037,0.0976708274353365,0.10668334524660472,0.10144385426797337
GSE250136,mast,sample_single_cell,Dusp4,H,Morphotypeneural_bias,0.01446017956637023,NA,NA,NA,NA,-0.02877695961725757,-0.02877695961725757,11573,0.07919223754947294,0.25093295586153647,0.24749821300929234,0.24949502506171917
GSE250136,mast,sample_single_cell,Dusp5,H,Morphotypeneural_bias,0.5615007094815149,NA,NA,NA,NA,-0.008242279364633731,-0.008242279364633731,11573,0.7664173401887344,0.28632093681636855,0.2889563974267334,0.2874242537592579
GSE250136,mast,sample_single_cell,Dusp6,H,Morphotypeneural_bias,3.896399500930237e-34,NA,NA,NA,NA,-0.20823404060551592,-0.20823404060551592,11573,1.3663374249928698e-31,0.4225968343842491,0.35060757684060045,0.3924590409216728
GSE250136,mast,sample_single_cell,Dusp7,H,Morphotypeneural_bias,0.009847763865275316,NA,NA,NA,NA,-0.024877531286102122,-0.024877531286102122,11573,0.05947720430530582,0.20872474584995496,0.20425303788420301,0.20685269694022593
GSE250136,mast,sample_single_cell,Dusp9,H,Morphotypeneural_bias,0.005910884651725552,NA,NA,NA,NA,-0.015391554703047785,-0.015391554703047785,11573,0.039744774659946594,0.04207952644447304,0.03716940671908506,0.04002393955262961
GSE250136,mast,sample_single_cell,Dut,H,Morphotypeneural_bias,6.579379879648813e-13,NA,NA,NA,NA,0.463551500744674,0.463551500744674,11573,3.695950678024081e-11,0.9764509072191481,0.977662616154396,0.9769581805940002
